title,name,sellingPrice,listingPrice,typeOfBook,printLength,publicationDate,rating,reviews,availability
Statistical Issues (v. 2) (A Handbook for Data Analysis in the Behavioral Sciences),"G. Keren 
(Editor),",£73.40,,Hardcover – 1 Jan. 1993,Print length      552 pages,Publication date      1 Jan. 1993,Previous slide of product details,,Out of stock
"Bad Data: How Governments, Politicians and the Rest of Us Get Misled by Numbers","Georgina Sturge 
(Author)",,,Kindle Edition,,Publication date      3 Nov. 2022,4.4 out of 5 stars,63 ratings,Out of stock
Data Science (The MIT Press Essential Knowledge series),"John D. Kelleher 
(Author),",,,Kindle Edition,,Publication date      13 April 2018,4.5 out of 5 stars,537 ratings,Out of stock
Cracking the Data: From the Sidelines to the Screens,"Dr Erkut Sogut 
(Author),",£15.99,,Paperback – 23 May 2024,Print length      112 pages,Publication date      23 May 2024,3.9 out of 5 stars,3 ratings,In stock
"SQL Data Analytics Made Easy: Your Step-by-Step Guide to Unlocking Data’s Hidden Secrets: Demystify complex concepts, and harness the power of data to drive intelligent decision-making effortlessly.","L.D. Knowings 
(Author)",£11.71,,Paperback – 3 Nov. 2023,Print length      210 pages,Publication date      3 Nov. 2023,4.4 out of 5 stars,24 ratings,In stock
Data Modeling with Snowflake: A practical guide to accelerating Snowflake development using universal data modeling techniques,"Serge Gershkovich 
(Author)",£37.99,,Paperback – 31 May 2023,Print length      324 pages,Publication date      31 May 2023,4.8 out of 5 stars,34 ratings,In stock
Good Data: An Optimist's Guide to Our Digital Future,"Sam Gilbert 
(Author)",,,Kindle Edition,,Publication date      1 April 2021,4.2 out of 5 stars,60 ratings,Out of stock
Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs,"James Phoenix 
(Author),",£57.61,RRP: £63.99,Paperback – 25 Jun. 2024,Print length      422 pages,Publication date      25 Jun. 2024,4.4 out of 5 stars,11 ratings,In stock
Predicting Solubility of New Drugs: Handbook of Critically Curated Data for Pharmaceutical Research,"Alex Avdeef 
(Author)",,,[Print Replica] Kindle Edition,,Publication date      27 May 2024,Previous slide of product details,,Out of stock
Data Visualization with Excel Dashboards and Reports,"Dick Kusleika 
(Author)",£23.55,RRP: £33.00,Paperback – 29 Jan. 2021,Print length      352 pages,Publication date      29 Jan. 2021,4.4 out of 5 stars,122 ratings,Only 6 left in stock (more on the way).
Data-driven Retailing: A Non-technical Practitioners' Guide (Management for Professionals),"Louis-Philippe Kerkhove 
(Author)",£36.85,RRP: £44.99,Paperback – 7 Oct. 2023,Print length      272 pages,Publication date      7 Oct. 2023,Previous slide of product details,,In stock
ZEUS PRECISION DATA CHARTS AND REFERENCE,,£9.69,,Unknown Binding,,,4.7 out of 5 stars,3 ratings,In stock
Data Storytelling in Marketing: How to Tell Persuasive Stories Through Data,"Caroline Florence 
(Author)",£30.15,RRP: £31.99,Paperback – 3 Jun. 2024,Print length      296 pages,Publication date      3 Jun. 2024,Previous slide of product details,,In stock
Taxi Driver Client Data Log Book: A Logbook for Taxicab Drivers to Keep Track of Customer Information | Taxi Service Customer Record | 100 Pages,"Hpso.Bv Publishing 
(Author)",£6.42,,Paperback – 24 April 2024,Print length      100 pages,Publication date      24 April 2024,Previous slide of product details,,In stock
"2024 New 2-in-1 Nasal Hair Cutter, Nostril Hair Remover Tool, Double Sided Nose Hair Knife, Portable Manual 360° Rotating Nose Hair Trimmer with Ear Picker for Women Men (5 Colors, 5PCS)",,£16.99,,,,,Previous page of related Sponsored Products,,In stock
Is it pronounced data or data?: 11 ways to improve data strategy in your organisation.,"Mr Daniele Forni 
(Author)",£8.99,,Paperback – 29 May 2023,Print length      103 pages,Publication date      29 May 2023,5.0 out of 5 stars,4 ratings,In stock
Data Feminism (Strong Ideas),"Catherine D'Ignazio 
(Author),",£18.65,RRP: £26.00,Paperback – 3 Oct. 2023,Print length      328 pages,Publication date      3 Oct. 2023,4.8 out of 5 stars,228 ratings,Only 10 left in stock (more on the way).
How Data Happened: A History from the Age of Reason to the Age of Algorithms,"Chris Wiggins 
(Author),",£14.99,,Paperback – 30 April 2024,Print length      384 pages,Publication date      30 April 2024,4.1 out of 5 stars,52 ratings,In stock
"The Enterprise Data Catalog: Improve Data Discovery, Ensure Data Governance, and Enable Innovation","Ole Olesen-Bagneux 
(Author)",£38.06,RRP: £52.99,Paperback – 21 Mar. 2023,Print length      216 pages,Publication date      21 Mar. 2023,4.4 out of 5 stars,34 ratings,Only 3 left in stock.
Sniper Data Book: Rifle Shooting Log for the Tactical Marksman | Track & Improve Your Precision!,"Planda Press 
(Author)",£5.99,,Paperback – 7 Oct. 2021,Print length      109 pages,Publication date      7 Oct. 2021,4.5 out of 5 stars,42 ratings,In stock
"50 Days of Data Analysis with Python: The Ultimate Challenges Book for Beginners: Hands-on Challenges with pandas, NumPy, Matplotlib, Sklearn and Seaborn","Benjamin Alexander 
(Author)",,,Kindle Edition,,Publication date      3 Dec. 2023,4.2 out of 5 stars,4 ratings,Out of stock
Effective Pandas 2: Opinionated Patterns for Data Manipulation (Treading on Python Book 4),"Matt Harrison 
(Author)",,,Kindle Edition,,Publication date      14 Mar. 2024,4.4 out of 5 stars,21 ratings,Out of stock
Data Science For Dummies (For Dummies (Computer/Tech)),"Lillian Pierson 
(Author)",£20.25,RRP: £28.99,Paperback – 1 Sept. 2021,Print length      432 pages,Publication date      1 Sept. 2021,4.5 out of 5 stars,75 ratings,In stock
A Little Guide for Teachers: Using Student Data,"Richard Selfridge 
(Author)",£10.99,,Paperback – 26 Jun. 2024,Print length      88 pages,Publication date      26 Jun. 2024,Previous slide of product details,,In stock
Data Protection Act 2018: Full Printed Statute,"Westminster Legal Publishing 
(Author)",£9.99,,Paperback – 23 May 2018,Print length      352 pages,Publication date      23 May 2018,4.8 out of 5 stars,8 ratings,In stock
Data Engineering with AWS: Acquire the skills to design and build AWS-based data transformation pipelines like a pro,"Gareth Eagar 
(Author)",£38.99,,Paperback – 31 Oct. 2023,Print length      636 pages,Publication date      31 Oct. 2023,4.4 out of 5 stars,14 ratings,In stock
Data Center for Beginners: A beginner's guide towards understanding Data Center Design: 1 (Data Center Design Guide),"B.A. Ayomaya 
(Author)",£8.89,,Paperback – 31 Mar. 2020,Print length      60 pages,Publication date      31 Mar. 2020,4.0 out of 5 stars,141 ratings,In stock
"Data Analytics for Process Engineers: Prediction, Control and Optimization (Synthesis Lectures on Mechanical Engineering)","Daniela Galatro 
(Author),",£34.29,,Hardcover – 3 Dec. 2023,Print length      154 pages,Publication date      3 Dec. 2023,Previous slide of product details,,Only 2 left in stock (more on the way).
DATA SCIENCE AND PYTHON SCIKIT FOR BEGINNERS: UNLOCKING THE SECRETS OF DATA SCIENCE: STEP-BY-STEP INSTRUCTIONS FOR ASPIRING DATA SCIENTISTS - 2 BOOKS IN 1,"JP PARKER 
(Author)",,,Kindle Edition,,Publication date      9 July 2024,Previous slide of product details,,Out of stock
